flight_duration,flight_phase,departure_elevation,arrival_elevation,total_onboard,cargo_weight,airline,aircraft_type,aircraft_age,last_maintenance_hours,engine_hours_since_overhaul,pilot_experience,copilot_experience,crew_count,season,weather_condition,visibility_km,wind_speed_knots,wind_direction,temperature_c,precipitation_mm,turbulence_severity,route_complexity,air_traffic_density,risk
452,cruise,2171,2657,256,1118,Delta,A350,9,125,3961,8397,2475,5,spring,snow,4.1373186784429725,60,127,18,10.385493824796235,moderate,0.04,0.23,1
199,climb,320,503,111,1571,Indigo,B737,14,249,7142,4785,3904,9,spring,storm,13.645800275283365,17,339,9,0.29628444113235286,severe,0.06,0.54,1
502,descent,928,2813,116,1205,Lufthansa,A350,10,347,2947,12768,2048,6,summer,storm,14.198880079105873,27,113,4,16.396415501275662,severe,0.42,0.14,1
218,climb,2241,712,65,2522,United,B787,6,450,5590,4406,4633,9,autumn,snow,7.295635947174553,4,140,27,14.14604664702397,moderate,0.56,0.73,0
539,landing,1854,2943,99,16824,United,A350,11,263,5415,5571,2817,8,autumn,snow,2.0903370303529325,53,265,-4,8.340938470394434,severe,0.59,0.59,1
125,climb,1571,1991,282,5524,Delta,B737,21,196,2151,2484,2241,6,spring,rain,14.506244838388978,58,215,26,13.615630578244605,none,0.18,0.42,1
363,landing,915,1390,132,19613,Emirates,B787,12,184,6696,8213,3025,9,spring,rain,11.515138138805348,8,48,40,4.951951493142152,light,0.58,0.57,0
118,landing,2994,1228,173,5387,Lufthansa,B787,23,490,7589,10138,1109,4,winter,rain,7.32112506300423,11,294,-17,2.8875663049405698,severe,0.53,0.14,1
526,climb,2578,2024,172,6775,Delta,A320,10,283,7504,6232,5857,7,summer,snow,6.2831805943234675,28,27,3,1.7639405813059161,moderate,0.16,0.06,0
396,climb,1822,1565,185,19232,Delta,A350,22,239,6167,12961,3949,10,autumn,clear,8.005870798367503,33,219,21,8.512816830837451,light,0.66,0.59,0
167,landing,2090,413,165,9940,Lufthansa,B787,16,102,9415,9789,4210,8,winter,snow,12.967021464191081,32,122,-18,19.8794473431305,light,0.37,0.76,0
474,takeoff,783,1768,126,4097,Emirates,B737,25,81,2966,9744,807,6,autumn,rain,2.572559693010544,0,74,-8,14.715884223421687,none,0.3,0.15,0
95,takeoff,1166,940,206,15760,United,A320,4,287,2561,9975,1588,8,winter,snow,8.678031933777959,30,210,7,17.683599256357823,light,0.44,0.12,0
513,climb,1826,1250,146,19270,Lufthansa,A320,19,236,8013,5811,4894,7,autumn,storm,3.791377228663261,38,129,31,1.6774876933932736,moderate,0.63,0.82,0
483,takeoff,712,429,166,13956,Lufthansa,B737,4,41,5552,14497,3021,9,autumn,storm,2.1075723175245527,37,39,25,5.796584513268186,none,0.48,0.84,1
258,landing,694,1951,175,12031,Emirates,B787,9,298,6115,9142,5286,7,summer,rain,10.814645097258555,41,41,2,16.40040999733956,none,0.2,0.35,0
183,takeoff,1311,1480,222,19011,Lufthansa,A320,15,132,6179,1703,2301,5,summer,snow,11.0621168622013,3,8,22,14.89074289600245,light,0.29,0.12,0
544,climb,2193,301,214,17410,Emirates,A320,29,493,6648,950,4886,7,summer,snow,6.763525213619867,24,111,20,16.548998643144515,none,0.82,0.61,1
275,takeoff,1336,1715,288,1510,United,B787,20,271,4709,2200,6739,8,winter,storm,11.422203894002605,6,275,-20,8.92056015479704,none,0.79,0.03,0
398,landing,733,560,51,18024,Delta,A350,2,426,616,11676,6360,4,spring,clear,4.769480251543627,19,17,12,15.713497237203132,moderate,0.43,0.72,0
397,descent,2797,2721,117,10259,Delta,B737,27,196,2355,4022,7275,8,winter,rain,14.332974584608039,43,243,1,12.197723440670345,severe,0.25,0.36,1
61,cruise,2372,1902,103,16733,Indigo,B737,9,88,6857,10767,7068,8,summer,rain,11.687624133668974,10,86,29,11.690752432204361,none,0.73,0.95,1
365,climb,1692,2037,129,4541,Indigo,B787,14,39,744,3172,7077,6,summer,clear,10.657162072842553,41,248,-16,16.618506038856932,severe,0.24,0.14,1
348,climb,1353,1602,155,14556,United,A350,23,262,6425,13347,7554,5,spring,storm,13.9720777962286,40,64,7,1.248634856433275,moderate,0.92,0.67,0
238,descent,2417,2148,237,17810,Lufthansa,A320,11,155,4361,5422,3056,8,autumn,rain,10.943021403352503,42,141,28,17.651808542145957,moderate,0.21,0.67,0
170,takeoff,1795,798,199,18905,Emirates,A350,16,70,3116,8500,4430,4,winter,rain,6.7021208387883044,39,167,-2,9.74727227836202,moderate,0.06,0.66,0
180,landing,2468,2263,179,11742,Indigo,A320,23,305,7823,3854,5159,9,spring,snow,1.7665745290399926,34,12,9,14.573424744590202,none,0.78,0.05,0
401,landing,2657,2348,159,7214,United,B787,5,425,2875,2797,6244,4,summer,storm,7.196310848644489,44,64,35,7.914102758922175,severe,0.09,0.33,1
263,takeoff,2069,2549,54,13328,Lufthansa,B787,23,15,9623,8737,7657,7,autumn,rain,13.84636171468865,33,359,14,18.353759224562243,none,0.2,0.2,0
217,climb,1926,1369,67,13389,Emirates,B787,11,269,5200,1472,302,10,summer,rain,10.17983832193275,29,157,-15,2.678857665838943,moderate,0.76,0.65,1
506,climb,235,1097,209,1462,Indigo,B737,17,274,8654,6197,5023,8,summer,storm,10.808605760610414,37,57,25,16.992215689799504,severe,0.63,0.07,1
464,descent,1943,1921,128,18317,United,B737,16,451,6701,10057,207,6,winter,storm,13.602964546184278,14,50,23,14.70062727870743,moderate,0.1,0.96,0
466,cruise,648,439,287,7559,Lufthansa,B737,5,194,3312,10942,7888,7,winter,storm,1.3303302566718938,22,138,30,5.6687479475443014,none,0.53,0.3,1
580,climb,2449,2430,184,19458,Delta,A320,26,344,2125,11295,7076,4,winter,snow,1.2461201545772336,48,137,4,0.9381706875678342,severe,0.53,0.69,1
355,landing,2665,1115,176,19180,Delta,B737,21,161,9940,2427,3390,4,spring,storm,10.536968625003048,26,295,36,19.194185017219915,light,0.43,0.76,0
338,descent,2280,1804,83,7983,Emirates,B787,15,220,7134,6470,1279,4,winter,rain,11.543773686186388,51,115,22,17.6181107060695,severe,0.73,0.08,1
232,descent,2882,1675,74,10571,Delta,B737,13,494,3216,609,4226,8,winter,snow,9.794178667031662,28,145,-13,13.042306583396853,moderate,0.03,0.38,0
211,landing,230,1121,63,8179,Emirates,A350,15,158,8117,7366,1597,6,winter,storm,7.843134154718554,50,132,23,4.699218642035625,none,0.81,0.82,1
493,landing,84,1103,53,10528,Indigo,A320,7,338,7572,5461,2439,9,autumn,rain,5.657531016206422,36,46,-8,15.18652304563087,none,0.56,0.27,0
156,takeoff,845,1904,243,14230,Indigo,B737,30,204,9867,12246,2916,7,summer,snow,7.163977937810686,14,305,40,19.64048216089268,moderate,0.9,0.02,0
357,cruise,2040,349,118,14017,Lufthansa,B737,30,194,7610,5595,1487,7,summer,storm,10.36146132398002,53,19,-4,13.578856908198578,moderate,0.53,0.77,1
378,takeoff,933,1305,219,3828,Delta,A320,25,130,3220,7292,7255,5,spring,storm,10.065704522362985,42,284,-12,16.265211772227893,severe,0.04,0.12,1
154,climb,994,2344,231,10409,United,B737,25,76,6178,11591,7293,6,autumn,snow,6.569122533753562,11,170,35,1.4837652898828013,light,0.04,0.98,0
415,descent,1653,1921,121,18616,Delta,A350,26,495,3412,14797,3936,9,winter,rain,5.214084066768228,39,51,-17,4.996896736218357,moderate,0.97,0.17,1
532,cruise,361,201,243,14513,Emirates,A320,14,283,5168,5224,237,4,summer,storm,6.565094718498996,52,51,9,11.075047707741376,light,0.59,0.76,1
149,cruise,2740,1377,296,18692,Lufthansa,A350,21,207,7741,9426,5244,5,summer,clear,14.363980014464511,12,96,-12,3.4802689333769843,none,0.94,0.8,0
71,cruise,965,1527,292,5062,Indigo,B787,4,373,6789,6069,3208,10,autumn,rain,2.816229476174441,30,145,2,5.435163107734484,moderate,0.01,0.85,0
86,cruise,667,2704,103,19572,Delta,B787,13,168,4250,6355,1613,5,summer,rain,14.195653433168566,13,272,33,14.202343056318732,moderate,0.9,0.67,0
255,landing,2743,1353,132,14324,Delta,B787,27,173,1119,8864,3926,9,autumn,rain,11.741283320035645,6,35,18,8.608641542831077,severe,0.22,0.35,1
145,descent,2488,2797,160,10317,Delta,A320,24,492,9474,10571,3164,8,spring,snow,11.865926155620135,37,92,20,19.86331291414099,moderate,0.05,0.02,1
573,takeoff,1821,757,123,19253,Emirates,A320,4,478,2166,9327,1681,8,winter,snow,4.4475504709750115,21,278,13,18.40053402356883,none,0.38,0.49,0
111,landing,1808,1400,206,18990,Emirates,A350,23,143,9044,9296,2915,7,spring,snow,7.761051212537235,52,327,-8,6.0784694604546345,light,0.15,0.78,1
477,climb,2407,2527,287,11148,Indigo,B787,23,127,3654,4603,3390,8,autumn,snow,5.974892729126264,9,185,8,2.280214697523475,severe,0.24,0.28,0
581,takeoff,1823,2031,146,11206,Emirates,B737,27,356,6764,1755,6188,7,winter,snow,8.396718340823657,57,51,-11,12.496899269646416,moderate,0.04,0.48,1
506,descent,2603,1522,147,6555,Indigo,B787,2,235,2929,11959,3691,5,autumn,rain,10.497929734416461,15,252,-7,1.6611002200031533,light,0.68,1.0,0
63,takeoff,413,638,242,15015,United,B787,24,492,1006,12116,5381,10,winter,snow,2.6179073302106195,26,144,10,9.76683712697783,light,0.96,0.52,1
179,climb,1130,2791,177,18761,Delta,B787,9,454,3491,13645,4452,8,autumn,snow,4.187553862801922,59,163,12,19.829903600520694,severe,0.34,0.77,1
385,descent,34,805,231,9754,Emirates,B737,28,106,5827,6333,5735,8,winter,rain,1.313683347339618,56,17,34,6.170337751911381,severe,0.12,0.3,1
442,climb,1990,928,135,11450,Emirates,A320,14,263,6002,10088,7663,4,autumn,clear,11.863919942788073,33,38,29,2.85242255649931,severe,0.65,0.0,1
